ref,predict,id,code
1,1.0,HumanEval_23_strlen,"
#include<assert.h>
#include<bits/stdc++.h>

// Return length of given string
long string_length(std::string str) {
    return str.length();"
1,1.0,HumanEval_23_strlen,"
long string_length(std::string string) {
    return string.size();"
1,1.0,HumanEval_23_strlen,"
#include<assert.h>
#include<bits/stdc++.h>

// Return length of given string
long string_length(std::string str) {
    return str.length();
"
0,0.0,HumanEval_23_strlen,"
    return string.length();"
0,0.0,HumanEval_23_strlen,"
    return string.length();"
1,1.0,HumanEval_23_strlen,"
long string_length(std::string string) {
    return string.length();"
1,1.0,HumanEval_23_strlen,"
long string_length(std::string string) {
    return string.length();"
1,1.0,HumanEval_23_strlen,"
long string_length(std::string string) {
    return string.length();
"
1,1.0,HumanEval_23_strlen,"
long string_length(std::string string) {
    return string.length();
"
0,0.0,HumanEval_23_strlen,"
    return string.length();"
0,0.0,HumanEval_89_encrypt,"
    std::string result = """";
    for(int i = 0; i < s.length(); i++){
        if(isupper(s[i])){
            result += char(int('A') + (s[i] - 'A' + 2*2) % 26);
        }
        else{
            result += char(int('a') + (s[i] - 'a' + 2*2) % 26);
        }
    }
    return result;"
1,1.0,HumanEval_89_encrypt,"
std::string encrypt(std::string s) {
    std::string result = """";
    for (int i = 0; i < s.length(); i++) {
        if (isupper(s[i])) {
            result += char(((s[i] - 'A' + 2 * 2) % 26) + 'A');
        } else {
            result += char(((s[i] - 'a' + 2 * 2) % 26) + 'a');
        }
    }
    return result;"
1,1.0,HumanEval_89_encrypt,"

std::string encrypt(std::string s) {
    std::string result = """";
    for (int i=0; i<s.length(); i++) {
        if (isupper(s[i]))
            result += char(int(s[i]+4-65)%26 +65);
        else
            result += char(int(s[i]+4-97)%26 +97);
    }
    return result;"
0,1.0,HumanEval_89_encrypt,"
    std::string encrypted_string = """";
    for (char& c : s) {
        if (isupper(c)) {
            encrypted_string += char(((c - 'A' + 2*2) % 26) + 'A');
        } else if (islower(c)) {
            encrypted_string += char(((c - 'a' + 2*2) % 26) + 'a');
        } else {
            encrypted_string += c;
        }
    }
    return encrypted_string;"
0,0.0,HumanEval_89_encrypt,"
    std::string result = """";
    for (int i = 0; i < s.length(); i++) {
        char c = s[i];
        if (isupper(c)) {
            result += char(((c - 'A' + 2*2) % 26) + 'A');
        } else {
            result += char(((c - 'a' + 2*2) % 26) + 'a');
        }
    }
    return result;
"
1,1.0,HumanEval_89_encrypt,"

std::string encrypt(std::string s) {
    std::string encrypted = """";
    for(char& c : s) {
        if(isupper(c)) {
            encrypted += char(((c - 'A' + 2 * 2) % 26) + 'A');
        } else {
            encrypted += char(((c - 'a' + 2 * 2) % 26) + 'a');
        }
    }
    return encrypted;"
1,1.0,HumanEval_89_encrypt,"
std::string encrypt(std::string s) {
    std::string result = """";
    for (int i=0; i<s.length(); i++) {
        char c = s[i];
        if (isupper(c)) {
            result += char(int('A') + (c - 'A' + 2*2) % 26);
        } else {
            result += char(int('a') + (c - 'a' + 2*2) % 26);
        }
    }
    return result;
"
1,1.0,HumanEval_89_encrypt,"
std::string encrypt(std::string s) {
    std::string result = """";
    for (char& c : s) {
        if (isupper(c)) {
            result += char(((c - 'A' + 2 * 2) % 26) + 'A');
        } else {
            result += char(((c - 'a' + 2 * 2) % 26) + 'a');
        }
    }
    return result;"
1,1.0,HumanEval_89_encrypt,"
std::string encrypt(std::string s) {
    std::string result = """";
    for (int i=0; i<s.length(); i++) {
        if (isupper(s[i]))
            result += char(int(s[i]+2*2-65)%26 +65);
        else
            result += char(int(s[i]+2*2-97)%26 +97);
    }
    return result;"
1,1.0,HumanEval_89_encrypt,"

std::string encrypt(std::string s) {
    std::string encrypted_string = """";
    for(char& c : s) {
        if(isupper(c)) {
            encrypted_string += char(int('A') + (c - 'A' + 2*2) % 26);
        } else {
            encrypted_string += char(int('a') + (c - 'a' + 2*2) % 26);
        }
    }
    return encrypted_string;"
0,0.0,HumanEval_95_check_dict_case,"
    if (dict.empty()) {
        return false;
    }
    
    bool all_lower = true;
    bool all_upper = true;
    
    for (auto const& pair: dict) {
        std::string key = pair.first;
        for (char const &c : key) {
            if (std::isupper(c)) {
                all_lower = false;
            } else if (std::islower(c)) {
                all_upper = false;
            } else {
                return false;
            }
        }
    }
    
    return all_lower || all_upper;"
0,0.0,HumanEval_95_check_dict_case,"

bool check_dict_case(std::map<std::string,std::string> dict) {
    if(dict.empty()) {
        return false;
    }

    bool all_lower = true;
    bool all_upper = true;

    for(auto const& pair: dict) {
        std::string key = pair.first;
        for(char c : key) {
            if(!isupper(c)) {
                all_upper = false;
            }
            if(!islower(c)) {
                all_lower = false;
            }
        }
        if(!all_lower && !all_upper) {
            return false;
        }
        all_lower = true;
        all_upper = true;
    }

    return true;"
0,0.0,HumanEval_95_check_dict_case,"
bool check_dict_case(std::map<std::string,std::string> dict) {
    if (dict.empty()) {
        return false;
    }
    bool all_lower = true;
    bool all_upper = true;
    for (auto const& pair: dict) {
        std::string key = pair.first;
        for (char const &c : key) {
            if (!isupper(c)) {
                all_upper = false;
            }
            if (!islower(c)) {
                all_lower = false;
            }
        }
        if (!all_lower && !all_upper) {
            return false;
        }
        all_lower = true;
        all_upper = true;
    }
    return true;"
1,0.0,HumanEval_95_check_dict_case,"
bool check_dict_case(std::map<std::string,std::string> dict) {
    if (dict.empty()) {
        return false;
    }

    bool allLower = true;
    bool allUpper = true;

    for (auto const& pair: dict) {
        std::string key = pair.first;
        for (char c : key) {
            if (std::isupper(c)) {
                allLower = false;
            } else if (std::islower(c)) {
                allUpper = false;
            } else {
                return false;
            }
        }
    }

    return allLower || allUpper;"
0,0.0,HumanEval_95_check_dict_case,"

bool check_dict_case(std::map<std::string,std::string> dict) {
    if(dict.empty())
        return false;

    bool is_lower = true, is_upper = true;

    for(auto const &pair: dict) {
        std::string key = pair.first;
        for(char const &c: key) {
            if(!islower(c))
                is_lower = false;
            if(!isupper(c))
                is_upper = false;
        }
    }

    return is_lower || is_upper;"
0,0.0,HumanEval_95_check_dict_case,"
    // Check if the map is empty
    if (dict.empty()) {
        return false;
    }

    // Initialize two booleans to track if all keys are in lower case or upper case
    bool all_lower = true, all_upper = true;

    // Iterate over the map
    for (const auto& kv : dict) {
        // Check if the key is a string
        if (std::holds_alternative<std::string>(kv.first)) {
            std::string key = std::get<std::string>(kv.first);
            // If any key is not in lower case, set all_lower to false
            if (!std::all_of(key.begin(), key.end(), ::islower)) {
                all_lower = false;
            }
            // If any key is not in upper case, set all_upper to false
            if (!std::all_of(key.begin(), key.end(), ::isupper)) {
                all_upper = false;
            }
        } else {
            // If the key is not a string, return false
            return false;
        }
    }

    // Return true if all keys are in lower case or all keys are in upper case
    return all_lower || all_upper;"
0,0.0,HumanEval_95_check_dict_case,"

bool check_dict_case(std::map<std::string,std::string> dict) {
    if (dict.empty())
        return false;
        
    bool all_lower = true, all_upper = true;
    for (auto const& pair: dict) {
        std::string key = pair.first;
        for (char const &c : key) {
            if (islower(c))
                all_upper = false;
            else if (isupper(c))
                all_lower = false;
        }
        if (!all_lower && !all_upper)
            break;
    }
    return all_lower || all_upper;"
0,0.0,HumanEval_95_check_dict_case,"
bool check_dict_case(std::map<std::string,std::string> dict) {
    if (dict.empty()) {
        return false;
    }

    bool all_lower = true;
    bool all_upper = true;

    for (auto const& pair: dict) {
        std::string key = pair.first;
        for (char c : key) {
            if (islower(c)) {
                all_upper = false;
            } else if (isupper(c)) {
                all_lower = false;
            } else {
                return false;  // Non-alphabetic character found
            }
        }
        if (all_lower == false && all_upper == false) {
            break;
        }
    }

    return all_lower || all_upper;
"
0,0.0,HumanEval_95_check_dict_case,"
bool check_dict_case(std::map<std::string,std::string> dict) {
    if(dict.empty()) {
        return false;
    }

    bool all_lower = true;
    bool all_upper = true;

    for(auto const& pair: dict) {
        std::string key = pair.first;

        for(char c : key) {
            if(!islower(c)) {
                all_lower = false;
            }
            if(!isupper(c)) {
                all_upper = false;
            }
        }

        if(!all_lower && !all_upper) {
            return false;
        }

        all_lower = true;
        all_upper = true;
    }

    return true;"
0,0.0,HumanEval_95_check_dict_case,"
bool check_dict_case(std::map<std::string,std::string> dict) {
    if (dict.empty()) {
        return false;
    }
    
    bool all_lower = true;
    bool all_upper = true;
    
    for (auto const& pair: dict) {
        std::string key = pair.first;
        for (char c : key) {
            if (islower(c)) {
                all_upper = false;
            } else if (isupper(c)) {
                all_lower = false;
            } else {
                return false;
            }
        }
    }
    
    return all_lower || all_upper;
"
0,0.0,HumanEval_85_add,"
    long sum = 0;
    for(int i = 1; i < lst.size(); i += 2) {
        if(lst[i] % 2 == 0) {
            sum += lst[i];
        }
    }
    return sum;"
0,1.0,HumanEval_85_add,"
    long sum = 0;
    for(int i = 1; i < lst.size(); i += 2) {
        if(lst[i] % 2 == 0) {
            sum += lst[i];
        }
    }
    return sum;"
0,0.0,HumanEval_85_add,"
    long sum = 0;
    for (int i = 1; i < lst.size(); i += 2) {
        if (lst[i] % 2 == 0) {
            sum += lst[i];
        }
    }
    return sum;"
1,1.0,HumanEval_85_add,"

long add(std::vector<long> lst) {
    long sum = 0;
    for(int i = 1; i < lst.size(); i += 2) {
        if(lst[i] % 2 == 0) {
            sum += lst[i];
        }
    }
    return sum;"
1,1.0,HumanEval_85_add,"

long add(std::vector<long> lst) {
    long sum = 0;
    for(int i = 1; i < lst.size(); i += 2){
        if(lst[i] % 2 == 0){
            sum += lst[i];
        }
    }
    return sum;
"
0,0.0,HumanEval_85_add,"
    long sum = 0;
    for (size_t i = 0; i < lst.size(); i++) {
        if (i % 2 != 0 && lst[i] % 2 == 0) {
            sum += lst[i];
        }
    }
    return sum;"
1,1.0,HumanEval_85_add,"

long add(std::vector<long> lst) {
    long sum = 0;
    for (int i = 1; i < lst.size(); i += 2) {
        if (lst[i] % 2 == 0) {
            sum += lst[i];
        }
    }
    return sum;
"
1,1.0,HumanEval_85_add,"
long add(std::vector<long> lst) {
    long sum = 0;
    for (size_t i = 1; i < lst.size(); i += 2) {
        if (lst[i] % 2 == 0) {
            sum += lst[i];
        }
    }
    return sum;"
0,0.0,HumanEval_85_add,"
    long sum = 0;
    for(int i = 1; i < lst.size(); i += 2) {
        if(lst[i] % 2 == 0) {
            sum += lst[i];
        }
    }
    return sum;"
1,1.0,HumanEval_85_add,"

long add(std::vector<long> lst) {
    long sum = 0;
    for (size_t i = 1; i < lst.size(); i += 2) {
        if (lst[i] % 2 == 0) {
            sum += lst[i];
        }
    }
    return sum;"
0,0.0,HumanEval_140_fix_spaces,"
    std::string result;
    bool two_spaces_found = false;
    for (char c : text) {
        if (c == ' ') {
            if (two_spaces_found) {
                result.push_back('-');
                two_spaces_found = false;
            } else {
                result.push_back('_');
                two_spaces_found = true;
            }
        } else {
            result.push_back(c);
            two_spaces_found = false;
        }
    }
    return result;"
